questions,answers
"A 38-year-old woman presents to her physician with double vision persisting for a week. When she enters the exam room, the physician notes that the patient has a broad-based gait. The woman’s husband informs the doctor that she has been an alcoholic for the last 5 years and her consumption of alcohol has increased significantly over the past few months. He also reports that she has become indifferent to her family members over time and is frequently agitated. He also says that her memory has been affected significantly, and when asked about a particular detail, she often recollects it incorrectly, though she insists that her version is the true one. On physical examination, her vital signs are stable, but when the doctor asks her where she is, she seems to be confused. Her neurological examination also shows nystagmus. Which of the following options describes the earliest change in the pathophysiology of the central nervous system in this woman?","The earliest change in the pathophysiology of the central nervous system in this woman is likely the development of neuronal injury and loss of neurons in the hippocampus and other areas of the brain due to chronic alcohol consumption. This leads to impaired memory and cognitive function, which is evident in her difficulty recalling details and being confused about her location."
A 6-year-old female who recently immigrated to the United States from Asia is admitted to the hospital with dyspnea. Physical exam reveals a gray pseudomembrane in the patient's oropharynx along with lymphadenopathy. The patient develops myocarditis and expires on hospital day 5. Which of the following would have prevented this patient's presentation and decline?,"Given the symptoms of gray pseudomembrane in the oropharynx and lymphadenopathy, along with myocarditis and the patient's recent immigration from Asia, diphtheria is a strong possibility. Early vaccination with diphtheria toxoid and possibly diphtheria-tetanus-pertussis (DTP) vaccine, especially if the patient had not completed the recommended vaccination series, would have prevented this patient's presentation and decline."
"A 38-year-old man undergoes hemithyroidectomy for treatment of localized, well-differentiated papillary thyroid carcinoma. The lesion is removed with clear margins. However, during the surgery, a structure lying directly adjacent to the superior thyroid artery at the upper pole of the thyroid lobe is damaged. This patient is most likely to experience which of the following symptoms?","The damaged structure is likely the external branch of the superior laryngeal nerve. This patient is most likely to experience hoarseness of voice due to the damage to the external branch of the superior laryngeal nerve, which provides sensory innervation to the larynx."
"A 52-year-old woman presents to the emergency department with chest pain radiating to her left jaw and arm. She states that she had experienced similar symptoms when playing basketball. The medical history is significant for diabetes mellitus, hypertension, and GERD, for which she takes metformin, hydrochlorothiazide, and pantoprazole, respectively. The blood pressure is 150/90 mm Hg, the pulse is 100/min, and the respirations are 15/min. The ECG reveals ST elevation in leads V3-V6. She is hospitalized for an acute MI and started on treatment. The next day she complains of dizziness and blurred vision. Repeat vital signs were as follows: blood pressure 90/60 mm Hg, pulse 72/min, and respirations 12/min. The laboratory results were as follows:
Serum chemistry
Sodium 143 mEq/L
Potassium 4.1 mEq/L
Chloride 98 mEq/L
Bicarbonate 22 mEq/L
Blood urea nitrogen  26 mg/dL
Creatinine 2.3 mg/dL
Glucose 120 mg/dL
Which of the following drugs is responsible for this patient’s lab abnormalities","The patient's lab abnormalities, particularly the low blood pressure (90/60 mm Hg) and elevated creatinine (2.3 mg/dL), suggest kidney impairment. The patient's medication list includes hydrochlorothiazide, a thiazide diuretic that can cause dehydration and hypotension, especially in a patient with pre-existing hypertension. Additionally, hydrochlorothiazide can also impair renal function, contributing to the elevated creatinine level."
"A 68-year-old man is brought to the emergency department because of fever, productive cough, and dyspnea for 3 days. He has had upper back pain for 3 months, which is worse after activity. He takes ibuprofen for pain relief. He has no history of smoking. The temperature is 39.5°C (103.1°F), the blood pressure is 100/70 mm Hg, the pulse is 95/min, and the respirations are 22/min. Lung auscultation shows rales in the left lower lobe area. Painful lymph nodes (1 × 1 cm) are palpated in the left axillary and cervical regions. There is point tenderness along several thoracic vertebrae. Laboratory studies are pending. A skull X-ray and lung window thoracic computed tomography scan are shown. Which of the following disorders most likely played a role in this patient’s acute condition?","Given the patient's symptoms, including fever, productive cough, dyspnea, and back pain, along with the radiographic findings, the most likely diagnosis is a vertebral osteomyelitis, specifically Pott's disease, caused by Mycobacterium tuberculosis. This is a form of extrapulmonary TB that affects the spine, often causing destructive lesions and vertebral collapse. The patient's history of back pain, fever, and the presence of painful lymph nodes and rales in the left lower lobe area support this diagnosis."
"A 32-year-old man presents to his primary care physician for a general wellness appointment. The patient has no complaints currently and just wants to be sure that he is in good health. The patient has a past medical history of asthma, hypertension, and anxiety. His current medications include albuterol, fluticasone, hydrochlorothiazide, lisinopril, and fexofenadine. His temperature is 99.5°F (37.5°C), blood pressure is 165/95 mmHg, pulse is 70/min, respirations are 15/min, and oxygen saturation is 98% on room air. On exam, you note a healthy young man with a lean habitus. Cardiac exam reveals a S1 and S2 heart sound with a normal rate. Pulmonary exam is clear to auscultation bilaterally with good air movement. Abdominal exam reveals a bruit, normoactive bowel sounds, and an audible borborygmus. Neurological exam reveals cranial nerves II-XII as grossly intact with normal strength and reflexes in the upper and lower extremities. Which of the following is the best next step in management?","Given the patient's history of hypertension and elevated blood pressure reading, the best next step in management is to discuss lifestyle modifications to control blood pressure, such as a healthy diet, regular exercise, and stress management. It would also be beneficial to review and adjust the patient's current medications to ensure they are effective in managing his hypertension and asthma."
"A 53-year-old man comes to the physician in February because of a 1-day history of fever, chills, headache, and dry cough. He also reports malaise and generalized muscle aches. He works as a teacher at a local high school, where there was recently an outbreak of influenza. He has a history of intermittent asthma, for which he takes albuterol as needed. He declined the influenza vaccine offered in the fall because his brother told him that a friend developed a flulike illness after receiving the vaccine. He is worried about possibly becoming ill and cannot afford to miss work. His temperature is 37.9°C (100.3°F), heart rate is 58/min, and his respirations are 12/min. Physical examination is unremarkable. His hemoglobin concentration is 14.5 g/dL, leukocyte count is 9,400/mm3, and platelet count is 280,000/mm3. In addition to analgesia, which of the following is the most appropriate next step in management?","Given the recent outbreak of influenza at his workplace and his symptoms of fever, chills, headache, and dry cough, the most appropriate next step in management is to perform a rapid influenza diagnostic test (RIDT) or a PCR to confirm the diagnosis of influenza. This will help determine if antiviral treatment with oseltamivir or zanamivir is necessary to reduce the duration and severity of symptoms."
"A 40-year-old man comes to the physician because of a 1-week history of fatigue, dark urine, and a feeling of heaviness in his legs. Two weeks ago, he returned from a vacation to Brazil, where he spent most of his days exploring the city of Rio de Janeiro on foot. He also gained 3 kg (7 lb) during his vacation. He has systemic lupus erythematosus. His only medication is hydroxychloroquine. His temperature is 37.5°C (99.5°F), pulse is 78/min, and blood pressure is 162/98 mm Hg. Physical examination shows 2+ pretibial edema bilaterally. Urinalysis shows:
Blood 3+
Protein 1+
RBC 6–8/hpf with dysmorphic features
RBC casts numerous
WBC 8/hpf
WBC casts rare
Bacteria negative
Which of the following is the most likely cause of this patient's leg findings?","Given the patient's history of systemic lupus erythematosus (SLE) and recent travel to Brazil, the most likely cause of his leg findings is nephritic syndrome, likely due to SLE flare. The presence of hematuria, proteinuria, and RBC casts in the urinalysis, along with the patient's history of SLE, suggests kidney involvement."
"Three days after starting a new drug for malaria prophylaxis, a 19-year-old college student comes to the physician because of dark-colored urine and fatigue. She has not had any fever, dysuria, or abdominal pain. She has no history of serious illness. Physical examination shows scleral icterus. Laboratory studies show a hemoglobin of 9.7 g/dL and serum lactate dehydrogenase of 234 U/L. Peripheral blood smear shows poikilocytes with bite-shaped irregularities. Which of the following drugs has the patient most likely been taking?","The patient's symptoms and lab results suggest hemolysis, a breakdown of red blood cells, likely due to the medication. Given the recent start of malaria prophylaxis and the specific lab findings, the likely culprit is primaquine. Primaquine can cause hemolysis, especially in individuals with glucose-6-phosphate dehydrogenase (G6PD) deficiency, which is common in some populations."
"A 5-year-old girl presents with altered mental status and difficulty breathing for the past couple of hours. The patient’s mother, a mechanic, says the girl accidentally ingested an unknown amount of radiator fluid. The patient’s vital signs are: temperature 37.1°C (98.8.F), pulse 116/min, blood pressure 98/78 mm Hg, and respiratory rate 42/min. On physical examination, cardiopulmonary auscultation reveals deep, rapid respirations with no wheezing, rhonchi, or crepitations. An ABG reveals the blood pH to be 7.2 with an anion gap of 16 mEq/L. Urinalysis reveals the presence of oxalate crystals. Which of the following is the most appropriate antidote for the poison that this patient has ingested?","Given the symptoms and laboratory findings, the most likely cause of the poisoning is ethylene glycol ingestion, commonly found in radiator fluid. The presence of oxalate crystals in the urine supports this diagnosis. The most appropriate antidote for ethylene glycol poisoning is fomepizole, a competitive inhibitor of alcohol dehydrogenase, the enzyme responsible for metabolizing ethylene glycol to its toxic metabolites."
